Plan,Building,Tier,Category,Production Time,Resource Type,Resource,Resource Quantity,Resource Dependency
Master,Sheave Manufactory,6,Steam Engine,N/A,Maintenance Resource,Meat Pie,2,Meat Pie Bakery
Master,Sheave Manufactory,6,Steam Engine,N/A,Maintenance Resource,Lemonade,2,Lemonade Factory*
Master,Sheave Manufactory,6,Steam Engine,N/A,Maintenance Resource,Glasses,2,Glasses Factory
Master,Glassmakers,3,Windows,30,Output Resource,Glass,1,N/A
Master,Steam Engine Factory,6,Steam Engine,N/A,Build Resource,Steel Beams,30,Steelworks
Master,Steam Engine Factory,6,Steam Engine,N/A,Build Resource,Windows,28,Window Makers
Master,Steam Engine Factory,6,Steam Engine,N/A,Build Resource,Concrete,32,Concrete Factory
Master,Brewery,1,Beer,N/A,Input Resource,Grain,1,Farm
Master,Pig Farm,2,Sausages,N/A,Input Resource,Grain,2,Farm
Master,Winery,4,Wine,N/A,Input Resource,Grapes,1,Vineyard
Master,Steam Engine Factory,6,Steam Engine,N/A,Maintenance Resource,Meat Pie,2,Meat Pie Bakery
Master,Steam Engine Factory,6,Steam Engine,N/A,Maintenance Resource,Lemonade,2,Lemonade Factory*
Master,Steam Engine Factory,6,Steam Engine,N/A,Maintenance Resource,Glasses,2,Glasses Factory
Mountains,Glassmakers**,10,Windows,30,Output Resource,Glass**,1,N/A
Master,Sugar Refinery,7,Chocolate,N/A,Build Resource,Plank,16,Sawmill
Master,Sugar Refinery,7,Chocolate,N/A,Build Resource,Brick,20,Brick Factory
Master,Sugar Refinery,7,Chocolate,N/A,Build Resource,Steel Beams,12,Steelworks
Master,Sugar Refinery,7,Chocolate,N/A,Build Resource,Windows,8,Window Makers
Islands,Humitas Kitchen*,8,Humatis,N/A,Input Resource,Green Pepper*,1,Green Pepper Farm*
Master,Sugar Refinery,7,Chocolate,N/A,Maintenance Resource,Meat Pie,1,Meat Pie Bakery
Master,Sugar Refinery,7,Chocolate,N/A,Maintenance Resource,Lemonade,1,Lemonade Factory*
Master,Sugar Refinery,7,Chocolate,N/A,Maintenance Resource,Glasses,1,Glasses Factory
Mountains,Crockery Factory**,11,Carrot Juice,21,Output Resource,Glass Cup**,1,N/A
Master,Chocolate Factory,7,Chocolate,N/A,Build Resource,Steel Beams,20,Steelworks
Master,Chocolate Factory,7,Chocolate,N/A,Build Resource,Windows,18,Window Makers
Master,Chocolate Factory,7,Chocolate,N/A,Build Resource,Concrete,22,Concrete Factory
Mountains,Barrel Factory**,9,Schnapps,N/A,Input Resource,Hoop**,1,Fastener Factory**
Master,Furnace,2,Steel Beams,N/A,Input Resource,Iron,1,Iron Mine
Master,Chocolate Factory,7,Chocolate,N/A,Maintenance Resource,Meat Pie,2,Meat Pie Bakery
Master,Chocolate Factory,7,Chocolate,N/A,Maintenance Resource,Lemonade,2,Lemonade Factory*
Master,Chocolate Factory,7,Chocolate,N/A,Maintenance Resource,Glasses,2,Glasses Factory
Master,Glasses Factory,6,Glasses,30,Output Resource,Glasses,3,N/A
Master,Satin Fabric,7,Hat,N/A,Build Resource,Steel Beams,12,Steelworks
Master,Satin Fabric,7,Hat,N/A,Build Resource,Windows,8,Window Makers
Master,Satin Fabric,7,Hat,N/A,Build Resource,Concrete,20,Concrete Factory
Mountains,Furnace**,7,Steel Beams,N/A,Input Resource,Iron**,1,Iron Mine**
Master,Satin Fabric,7,Hat,N/A,Maintenance Resource,Meat Pie,1,Meat Pie Bakery
Master,Satin Fabric,7,Hat,N/A,Maintenance Resource,Lemonade,1,Lemonade Factory*
Master,Satin Fabric,7,Hat,N/A,Maintenance Resource,Glasses,1,Glasses Factory
Master,Copper Mission,0,Port,0,Output Resource,Glasses,1,N/A
Master,Hat Fabric,7,Hat,N/A,Build Resource,Steel Beams,20,Steelworks
Master,Hat Fabric,7,Hat,N/A,Build Resource,Windows,18,Window Makers
Master,Hat Fabric,7,Hat,N/A,Build Resource,Concrete,22,Concrete Factory
Master,Kerosene Lamp Factory,7,Kerosene Lamp,N/A,Input Resource,Kerosene,1,Kerosene Factory
Master,Tannery,3,Vest,N/A,Input Resource,Leather,1,Steakhouse
Master,Hat Fabric,7,Hat,N/A,Maintenance Resource,Meat Pie,2,Meat Pie Bakery
Master,Hat Fabric,7,Hat,N/A,Maintenance Resource,Lemonade,2,Lemonade Factory*
Master,Hat Fabric,7,Hat,N/A,Maintenance Resource,Glasses,2,Glasses Factory
Mountains,Goat Farm**,8,Steak,31,Output Resource,Goat**,2,N/A
Master,Kerosene Factory,7,Kerosene Lamp,N/A,Build Resource,Steel Beams,20,Steelworks
Master,Kerosene Factory,7,Kerosene Lamp,N/A,Build Resource,Windows,18,Window Makers
Master,Kerosene Factory,7,Kerosene Lamp,N/A,Build Resource,Concrete,22,Concrete Factory
Master,World Exhibition,8,World Exhibition,N/A,Input Resource,Lemonade,75,Lemonade Factory
Islands,Port,0,Port,N/A,Input Resource,Lemonade*,1,Lemonade Factory*
Master,Kerosene Factory,7,Kerosene Lamp,N/A,Maintenance Resource,Chocolate,1,Chocolate Factory
Master,Kerosene Factory,7,Kerosene Lamp,N/A,Maintenance Resource,Coffee,1,Coffee Plantation*
Master,Kerosene Factory,7,Kerosene Lamp,N/A,Maintenance Resource,Hat,1,Hat Fabric
Mountains,Furnace***,8,Steel Beams,30,Output Resource,Gold**,1,N/A
Master,Kerosene Lamp Factory,7,Kerosene Lamp,N/A,Build Resource,Steel Beams,30,Steelworks
Master,Kerosene Lamp Factory,7,Kerosene Lamp,N/A,Build Resource,Windows,28,Window Makers
Master,Kerosene Lamp Factory,7,Kerosene Lamp,N/A,Build Resource,Concrete,32,Concrete Factory
Master,Copper Mission,0,Port,N/A,Input Resource,Lemonade,1,Lemonade Factory*
Master,Cement Factory,5,Concrete,N/A,Input Resource,Limestone,1,Limestone Quarry
Islands,Lime Plaster Factory*,7,Lime Plaster,N/A,Input Resource,Limestone*,1,Limestone Quarry*
Master,Kerosene Lamp Factory,7,Kerosene Lamp,N/A,Maintenance Resource,Chocolate,2,Chocolate Factory
Master,Kerosene Lamp Factory,7,Kerosene Lamp,N/A,Maintenance Resource,Coffee,2,Coffee Plantation*
Master,Kerosene Lamp Factory,7,Kerosene Lamp,N/A,Maintenance Resource,Hat,2,Hat Fabric
Mountains,Sluicing Camp**,8,Coin,30,Output Resource,Gold Ore**,1,N/A
Islands,Cattle Farm*,7,Canned Food,N/A,Build Resource,Stone*,8,Quarry*
Islands,Cattle Farm*,7,Canned Food,N/A,Build Resource,Brick*,7,Brick Factory*
Islands,Cattle Farm*,7,Canned Food,N/A,Build Resource,Timber*,16,Bamboo Factory*
Master,Tailor's Shop,5,Suits,N/A,Input Resource,Linen,1,Linen Mill
Islands,Cattle Farm*,7,Canned Food,N/A,Maintenance Resource,Rum*,1,Rum Distillery*
Islands,Cattle Farm*,7,Canned Food,N/A,Maintenance Resource,Fried Banana*,1,Fried Banana Kitchen*
Islands,Cattle Farm*,7,Canned Food,N/A,Maintenance Resource,Poncho*,1,Poncho Darner*
Mountains,Gold Mine**,8,Coin,60,Output Resource,Gold Ore**,1,N/A
Islands,Corn Farm*,7,Tortilla,N/A,Build Resource,Stone*,8,Quarry*
Islands,Corn Farm*,7,Tortilla,N/A,Build Resource,Brick*,7,Brick Factory*
Islands,Corn Farm*,7,Tortilla,N/A,Build Resource,Timber*,16,Bamboo Factory*
Master,Satin Fabric,7,Hat,N/A,Input Resource,Linen,1,Linen Mill
Islands,Corn Farm*,7,Tortilla,N/A,Maintenance Resource,Rum*,1,Rum Distillery*
Islands,Corn Farm*,7,Tortilla,N/A,Maintenance Resource,Fried Banana*,1,Fried Banana Kitchen*
Islands,Corn Farm*,7,Tortilla,N/A,Maintenance Resource,Poncho*,1,Poncho Darner*
Mountains,Gold Mission,0,Port,0,Output Resource,Gold Ore**,1,N/A
Islands,Tortilla Kitchen*,7,Tortilla,N/A,Build Resource,Stone*,16,Quarry*
Islands,Tortilla Kitchen*,7,Tortilla,N/A,Build Resource,Brick*,14,Brick Factory*
Islands,Tortilla Kitchen*,7,Tortilla,N/A,Build Resource,Timber*,32,Bamboo Factory*
Master,Linen Mill,5,Suits,N/A,Input Resource,Linseed,1,Linseed Farm
Master,Bakery,1,Bread,N/A,Input Resource,Meal,2,Mill
Islands,Tortilla Kitchen*,7,Tortilla,N/A,Maintenance Resource,Rum*,2,Rum Distillery*
Islands,Tortilla Kitchen*,7,Tortilla,N/A,Maintenance Resource,Fried Banana*,2,Fried Banana Kitchen*
Islands,Tortilla Kitchen*,7,Tortilla,N/A,Maintenance Resource,Poncho*,2,Poncho Darner*
Master,Farm,1,Bread,31,Output Resource,Grain,2,N/A
Islands,Sugar Refinery*,7,Chocolate,N/A,Build Resource,Stone*,16,Quarry*
Islands,Sugar Refinery*,7,Chocolate,N/A,Build Resource,Brick*,14,Brick Factory*
Islands,Sugar Refinery*,7,Chocolate,N/A,Build Resource,Timber*,32,Bamboo Factory*
Master,Milk Farm,3,Milk Can,N/A,Input Resource,Milk,1,Cow Farm
Islands,Sugar Refinery*,7,Chocolate,N/A,Maintenance Resource,Rum*,2,Rum Distillery*
Islands,Sugar Refinery*,7,Chocolate,N/A,Maintenance Resource,Fried Banana*,2,Fried Banana Kitchen*
Islands,Sugar Refinery*,7,Chocolate,N/A,Maintenance Resource,Poncho*,2,Poncho Darner*
Master,Vineyard,4,Wine,31,Output Resource,Grapes,2,N/A
Islands,Citrus Farm*,7,Lemonade,N/A,Build Resource,Stone*,8,Quarry*
Islands,Citrus Farm*,7,Lemonade,N/A,Build Resource,Brick*,7,Brick Factory*
Islands,Citrus Farm*,7,Lemonade,N/A,Build Resource,Timber*,16,Bamboo Factory*
Master,Curdling Factory,5,Cheese,N/A,Input Resource,Milk,1,Cow Farm
Islands,Citrus Farm*,7,Lemonade,N/A,Maintenance Resource,Rum*,1,Rum Distillery*
Islands,Citrus Farm*,7,Lemonade,N/A,Maintenance Resource,Fried Banana*,1,Fried Banana Kitchen*
Islands,Citrus Farm*,7,Lemonade,N/A,Maintenance Resource,Poncho*,1,Poncho Darner*
Islands,Green Pepper Farm*,8,Humatis,31,Output Resource,Green Pepper*,2,N/A
Islands,Salt Works*,7,Lemonade,N/A,Build Resource,Stone*,8,Quarry*
Islands,Salt Works*,7,Lemonade,N/A,Build Resource,Brick*,7,Brick Factory*
Islands,Salt Works*,7,Lemonade,N/A,Build Resource,Timber*,16,Bamboo Factory*
Mountains,Milk Farm**,8,Milk Can,N/A,Input Resource,Milk**,1,Goat Farm**
Islands,Salt Works*,7,Lemonade,N/A,Maintenance Resource,Rum*,1,Rum Distillery*
Islands,Salt Works*,7,Lemonade,N/A,Maintenance Resource,Fried Banana*,1,Fried Banana Kitchen*
Islands,Salt Works*,7,Lemonade,N/A,Maintenance Resource,Poncho*,1,Poncho Darner*
Master,Hat Fabric,7,Hat,75,Output Resource,Hat,2,N/A
Islands,Lemonade Factory*,7,Lemonade,N/A,Build Resource,Stone*,24,Quarry*
Islands,Lemonade Factory*,7,Lemonade,N/A,Build Resource,Brick*,20,Brick Factory*
Islands,Lemonade Factory*,7,Lemonade,N/A,Build Resource,Timber*,48,Bamboo Factory*
Mountains,Gold Mission,0,Port,N/A,Input Resource,Milk Can**,1,Milk Farm**
Master,Copper Mission,0,Port,N/A,Input Resource,Moonshine,1,Moonshine Factory
Mountains,Gold Mission,0,Port,N/A,Input Resource,Nails**,1,Fastener Factory**
Master,Fishery,0,Fish,N/A,Input Resource,None,1,None
Islands,Lemonade Factory*,7,Lemonade,N/A,Maintenance Resource,Rum*,2,Rum Distillery*
Islands,Lemonade Factory*,7,Lemonade,N/A,Maintenance Resource,Fried Banana*,2,Fried Banana Kitchen*
Islands,Lemonade Factory*,7,Lemonade,N/A,Maintenance Resource,Poncho*,2,Poncho Darner*
Mountains,Fastener Factory**,7,"Nails, Hoop",45,Output Resource,Hoop**,1,N/A
Islands,Sheep Farm*,7,Clothes,N/A,Build Resource,Stone*,8,Quarry*
Islands,Sheep Farm*,7,Clothes,N/A,Build Resource,Brick*,7,Brick Factory*
Islands,Sheep Farm*,7,Clothes,N/A,Build Resource,Timber*,16,Bamboo Factory*
Master,Well,0,Water,N/A,Input Resource,None,1,None
Islands,Sheep Farm*,7,Clothes,N/A,Maintenance Resource,Rum*,1,Rum Distillery*
Islands,Sheep Farm*,7,Clothes,N/A,Maintenance Resource,Fried Banana*,1,Fried Banana Kitchen*
Islands,Sheep Farm*,7,Clothes,N/A,Maintenance Resource,Poncho*,1,Poncho Darner*
Mountains,Stable**,7,Horse,45,Output Resource,Horse**,2,N/A
Islands,Sewing Workshop*,7,Clothes,N/A,Build Resource,Stone*,16,Quarry*
Islands,Sewing Workshop*,7,Clothes,N/A,Build Resource,Brick*,14,Brick Factory*
Islands,Sewing Workshop*,7,Clothes,N/A,Build Resource,Timber*,32,Bamboo Factory*
Master,Lumber Camp,0,Plank,N/A,Input Resource,None,1,None
Islands,Sewing Workshop*,7,Clothes,N/A,Maintenance Resource,Rum*,2,Rum Distillery*
Islands,Sewing Workshop*,7,Clothes,N/A,Maintenance Resource,Fried Banana*,2,Fried Banana Kitchen*
Islands,Sewing Workshop*,7,Clothes,N/A,Maintenance Resource,Poncho*,2,Poncho Darner*
Islands,Humitas Kitchen*,8,Humatis,45,Output Resource,Humatis*,2,N/A
Islands,Limestone Quarry*,7,Concrete,N/A,Build Resource,Stone*,8,Quarry*
Islands,Limestone Quarry*,7,Concrete,N/A,Build Resource,Brick*,7,Brick Factory*
Islands,Limestone Quarry*,7,Concrete,N/A,Build Resource,Timber*,16,Bamboo Factory*
Master,Quarry,0,Stone,N/A,Input Resource,None,1,None
Islands,Limestone Quarry*,7,Concrete,N/A,Maintenance Resource,Clothes*,1,Sewing Workshop*
Islands,Limestone Quarry*,7,Concrete,N/A,Maintenance Resource,Lemonade*,1,Lemonade Factory*
Islands,Limestone Quarry*,7,Concrete,N/A,Maintenance Resource,Tortilla*,1,Tortilla Kitchen*
Master,Iron Mine,2,Steel Beams,60,Output Resource,Iron,1,N/A
Islands,Steam Limestone Quarry*,7,Concrete,N/A,Build Resource,Stone*,16,Quarry*
Islands,Steam Limestone Quarry*,7,Concrete,N/A,Build Resource,Brick*,14,Brick Factory*
Islands,Steam Limestone Quarry*,7,Concrete,N/A,Build Resource,Timber*,32,Bamboo Factory*
Islands,Steam Limestone Quarry*,7,Concrete,N/A,Build Resource,Steam Engine*,2,Steam Engine Factory
Master,Farm,1,Bread,N/A,Input Resource,None,1,None
Islands,Steam Limestone Quarry*,7,Concrete,N/A,Maintenance Resource,Steam Engine*,1,Steam Engine Factory
Master,Steam Iron Mine,2,Steel Beams,60,Output Resource,Iron,2,N/A
Islands,Sand Mine*,7,Windows,N/A,Build Resource,Stone*,8,Quarry*
Islands,Sand Mine*,7,Windows,N/A,Build Resource,Brick*,7,Brick Factory*
Islands,Sand Mine*,7,Windows,N/A,Build Resource,Timber*,16,Bamboo Factory*
Master,Sheep Farm,1,Clothes,N/A,Input Resource,None,1,None
Islands,Sand Mine*,7,Windows,N/A,Maintenance Resource,Clothes*,1,Sewing Workshop*
Islands,Sand Mine*,7,Windows,N/A,Maintenance Resource,Lemonade*,1,Lemonade Factory*
Islands,Sand Mine*,7,Windows,N/A,Maintenance Resource,Tortilla*,1,Tortilla Kitchen*
Mountains,Iron Mine**,7,Steel Beams,60,Output Resource,Iron**,1,N/A
Islands,Lime Plaster Factory*,7,Lime Plaster,N/A,Build Resource,Stone*,16,Quarry*
Islands,Lime Plaster Factory*,7,Lime Plaster,N/A,Build Resource,Brick*,14,Brick Factory*
Islands,Lime Plaster Factory*,7,Lime Plaster,N/A,Build Resource,Timber*,32,Bamboo Factory*
Master,Clay Pit,1,Brick,N/A,Input Resource,None,1,None
Master,Steam Clay Pit,1,Brick,N/A,Input Resource,None,1,None
Master,Potato Farm,2,Moonshine,N/A,Input Resource,None,1,None
Islands,Lime Plaster Factory*,7,Lime Plaster,N/A,Maintenance Resource,Clothes*,2,Sewing Workshop*
Islands,Lime Plaster Factory*,7,Lime Plaster,N/A,Maintenance Resource,Lemonade*,2,Lemonade Factory*
Islands,Lime Plaster Factory*,7,Lime Plaster,N/A,Maintenance Resource,Tortilla*,2,Tortilla Kitchen*
Master,Kerosene Factory,7,Kerosene Lamp,30,Output Resource,Kerosene,1,N/A
Islands,Green Pepper Farm*,8,Humatis,N/A,Build Resource,Stone*,8,Quarry*
Islands,Green Pepper Farm*,8,Humatis,N/A,Build Resource,Brick*,7,Brick Factory*
Islands,Green Pepper Farm*,8,Humatis,N/A,Build Resource,Timber*,16,Bamboo Factory*
Islands,Green Pepper Farm*,8,Humatis,N/A,Build Resource,Lime Plaster*,7,Lime Plaster Factory*
Master,Sugar Cane Plantation,2,Moonshine,N/A,Input Resource,None,1,None
Islands,Green Pepper Farm*,8,Humatis,N/A,Maintenance Resource,Clothes*,1,Sewing Workshop*
Islands,Green Pepper Farm*,8,Humatis,N/A,Maintenance Resource,Lemonade*,1,Lemonade Factory*
Islands,Green Pepper Farm*,8,Humatis,N/A,Maintenance Resource,Tortilla*,1,Tortilla Kitchen*
Master,Kerosene Lamp Factory,7,Kerosene Lamp,45,Output Resource,Kerosene Lamp,2,N/A
Islands,Humitas Kitchen*,8,Humatis,N/A,Build Resource,Stone*,16,Quarry*
Islands,Humitas Kitchen*,8,Humatis,N/A,Build Resource,Brick*,15,Brick Factory*
Islands,Humitas Kitchen*,8,Humatis,N/A,Build Resource,Timber*,32,Bamboo Factory*
Islands,Humitas Kitchen*,8,Humatis,N/A,Build Resource,Lime Plaster*,15,Lime Plaster Factory*
Master,Cotton Plantation,2,Overalls,N/A,Input Resource,None,1,None
Master,Iron Mine,2,Steel Beams,N/A,Input Resource,None,1,None
Master,Steam Iron Mine,2,Steel Beams,N/A,Input Resource,None,1,None
Islands,Humitas Kitchen*,8,Humatis,N/A,Maintenance Resource,Clothes*,2,Sewing Workshop*
Islands,Humitas Kitchen*,8,Humatis,N/A,Maintenance Resource,Lemonade*,2,Lemonade Factory*
Islands,Humitas Kitchen*,8,Humatis,N/A,Maintenance Resource,Tortilla*,2,Tortilla Kitchen*
Master,Steakhouse,3,Steak & Leather,45,Output Resource,Leather,2,N/A
Islands,Coffee Plantation*,8,Coffee,N/A,Build Resource,Stone*,8,Quarry*
Islands,Coffee Plantation*,8,Coffee,N/A,Build Resource,Brick*,7,Brick Factory*
Islands,Coffee Plantation*,8,Coffee,N/A,Build Resource,Timber*,16,Bamboo Factory*
Islands,Coffee Plantation*,8,Coffee,N/A,Build Resource,Lime Plaster*,7,Lime Plaster Factory*
Master,Coal Mine,2,Steel Beams,N/A,Input Resource,None,1,None
Islands,Coffee Plantation*,8,Coffee,N/A,Maintenance Resource,Clothes*,1,Sewing Workshop*
Islands,Coffee Plantation*,8,Coffee,N/A,Maintenance Resource,Lemonade*,1,Lemonade Factory*
Islands,Coffee Plantation*,8,Coffee,N/A,Maintenance Resource,Tortilla*,1,Tortilla Kitchen*
Islands,Lemonade Factory*,7,Lemonade,45,Output Resource,Lemonade*,2,N/A
Islands,Coffee Roaster*,8,Coffee,N/A,Build Resource,Stone*,16,Quarry*
Islands,Coffee Roaster*,8,Coffee,N/A,Build Resource,Brick*,15,Brick Factory*
Islands,Coffee Roaster*,8,Coffee,N/A,Build Resource,Timber*,32,Bamboo Factory*
Islands,Coffee Roaster*,8,Coffee,N/A,Build Resource,Lime Plaster*,15,Lime Plaster Factory*
Master,Steam Coal Mine,2,Steel Beams,N/A,Input Resource,None,1,None
Islands,Coffee Roaster*,8,Coffee,N/A,Maintenance Resource,Clothes*,2,Sewing Workshop*
Islands,Coffee Roaster*,8,Coffee,N/A,Maintenance Resource,Lemonade*,2,Lemonade Factory*
Islands,Coffee Roaster*,8,Coffee,N/A,Maintenance Resource,Tortilla*,2,Tortilla Kitchen*
Master,Port,0,Port,0,Output Resource,Lemonade,1,N/A
Islands,Cotton Mill*,8,Overalls,N/A,Build Resource,Stone*,16,Quarry*
Islands,Cotton Mill*,8,Overalls,N/A,Build Resource,Brick*,15,Brick Factory*
Islands,Cotton Mill*,8,Overalls,N/A,Build Resource,Timber*,32,Bamboo Factory*
Islands,Cotton Mill*,8,Overalls,N/A,Build Resource,Lime Plaster*,15,Lime Plaster Factory*
Master,Red Pepper Farm,4,Canned Food,N/A,Input Resource,None,1,None
Islands,Cotton Mill*,8,Overalls,N/A,Maintenance Resource,Clothes*,2,Sewing Workshop*
Islands,Cotton Mill*,8,Overalls,N/A,Maintenance Resource,Lemonade*,2,Lemonade Factory*
Islands,Cotton Mill*,8,Overalls,N/A,Maintenance Resource,Tortilla*,2,Tortilla Kitchen*
Mountains,Light Bulb Factory**,11,Light Bulb,45,Output Resource,Light Bulb**,2,N/A
Islands,Felt Workshop*,8,Overalls,N/A,Build Resource,Stone*,16,Quarry*
Islands,Felt Workshop*,8,Overalls,N/A,Build Resource,Brick*,15,Brick Factory*
Islands,Felt Workshop*,8,Overalls,N/A,Build Resource,Timber*,32,Bamboo Factory*
Islands,Felt Workshop*,8,Overalls,N/A,Build Resource,Lime Plaster*,15,Lime Plaster Factory*
Master,Cattle Farm,4,Canned Food,N/A,Input Resource,None,1,None
Islands,Felt Workshop*,8,Overalls,N/A,Maintenance Resource,Clothes*,2,Sewing Workshop*
Islands,Felt Workshop*,8,Overalls,N/A,Maintenance Resource,Lemonade*,2,Lemonade Factory*
Islands,Felt Workshop*,8,Overalls,N/A,Maintenance Resource,Tortilla*,2,Tortilla Kitchen*
Islands,Lime Plaster Factory*,7,Lime Plaster,45,Output Resource,Lime Plaster*,2,N/A
Islands,Fur Factory*,8,Overalls,N/A,Build Resource,Stone*,24,Quarry*
Islands,Fur Factory*,8,Overalls,N/A,Build Resource,Brick*,23,Brick Factory*
Islands,Fur Factory*,8,Overalls,N/A,Build Resource,Timber*,48,Bamboo Factory*
Islands,Fur Factory*,8,Overalls,N/A,Build Resource,Lime Plaster*,23,Lime Plaster Factory*
Master,Vineyard,4,Wine,N/A,Input Resource,None,1,None
Master,Linseed Farm,5,Suits,N/A,Input Resource,None,1,None
Islands,Fur Factory*,8,Overalls,N/A,Maintenance Resource,Clothes*,2,Sewing Workshop*
Islands,Fur Factory*,8,Overalls,N/A,Maintenance Resource,Lemonade*,2,Lemonade Factory*
Islands,Fur Factory*,8,Overalls,N/A,Maintenance Resource,Tortilla*,2,Tortilla Kitchen*
Master,Limestone Quarry,5,Concrete,60,Output Resource,Limestone,1,N/A
Islands,Oil Well*,8,Oil,N/A,Build Resource,Stone*,8,Quarry*
Islands,Oil Well*,8,Oil,N/A,Build Resource,Brick*,7,Brick Factory*
Islands,Oil Well*,8,Oil,N/A,Build Resource,Timber*,16,Bamboo Factory*
Islands,Oil Well*,8,Oil,N/A,Build Resource,Lime Plaster*,7,Lime Plaster Factory*
Master,Limestone Quarry,5,Concrete,N/A,Input Resource,None,1,None
Islands,Oil Well*,8,Oil,N/A,Maintenance Resource,Overalls*,1,Fur Factory*
Islands,Oil Well*,8,Oil,N/A,Maintenance Resource,Humatis*,1,Humitas Kitchen*
Islands,Oil Well*,8,Oil,N/A,Maintenance Resource,Coffee*,1,Coffee Roaster*
Master,Steam Limestone Quarry,5,Concrete,60,Output Resource,Limestone,2,N/A
Master,Square,8,Square,N/A,Build Resource,Stone,225,Quarry
Master,Square,8,Square,N/A,Build Resource,Steel Beams,25,Steelworks
Master,Square,8,Square,N/A,Build Resource,Kerosene Lamp,50,Kerosene Lamp Factory
Master,Steam Limestone Quarry,5,Concrete,N/A,Input Resource,None,1,None
Master,Square,8,Square,N/A,Maintenance Resource,None,0,None
Islands,Limestone Quarry*,7,Concrete,60,Output Resource,Limestone*,1,N/A
Master,Promenade,8,Promenade,N/A,Build Resource,Plank,50,Sawmill
Master,Promenade,8,Promenade,N/A,Build Resource,Stone,125,Quarry
Master,Promenade,8,Promenade,N/A,Build Resource,Steel Beams,30,Steelworks
Master,Promenade,8,Promenade,N/A,Build Resource,Kerosene Lamp,60,Kerosene Lamp Factory
Islands,Fishery*,5,Fish,N/A,Input Resource,None,1,None
Master,Promenade,8,Promenade,N/A,Maintenance Resource,None,0,None
Islands,Steam Limestone Quarry*,7,Concrete,60,Output Resource,Limestone*,2,N/A
Master,World Exhibition,8,World Exhibition,N/A,Build Resource,Plank,200,Sawmill
Master,World Exhibition,8,World Exhibition,N/A,Build Resource,Stone,150,Quarry
Master,World Exhibition,8,World Exhibition,N/A,Build Resource,Steel Beams,30,Steelworks
Master,World Exhibition,8,World Exhibition,N/A,Build Resource,Windows,20,Window Makers
Master,World Exhibition,8,World Exhibition,N/A,Build Resource,Concrete,20,Concrete Factory
Master,World Exhibition,8,World Exhibition,N/A,Build Resource,Kerosene Lamp,75,Kerosene Lamp Factory
Islands,Well*,5,Water,N/A,Input Resource,None,1,None
Islands,Bamboo Plantation*,5,Timber,N/A,Input Resource,None,1,None
Islands,Quarry*,5,Stone,N/A,Input Resource,None,1,None
Islands,Banana Farm*,6,Fried Banana,N/A,Input Resource,None,1,None
Islands,Cocoa Plantation*,6,Fried Banana,N/A,Input Resource,None,1,None
Islands,Sugar Cane Plantation*,6,Moonshine,N/A,Input Resource,None,1,None
Islands,Alpaca Farm*,6,Poncho,N/A,Input Resource,None,1,None
Master,World Exhibition,8,World Exhibition,N/A,Maintenance Resource,None,0,None
Master,Linen Mill,5,Suits,30,Output Resource,Linen,1,N/A
Mountains,Storage**,6,Storage,N/A,Build Resource,Stone**,4,Quarry**
Mountains,Storage**,6,Storage,N/A,Build Resource,Oak Plank**,2,Sawmill**
Islands,Cotton Plantation*,6,Overalls,N/A,Input Resource,None,1,None
Mountains,Storage**,6,Storage,N/A,Maintenance Resource,None,0,None
Master,Linseed Farm,5,Suits,31,Output Resource,Linseed,2,N/A
Mountains,Pillar**,6,Pillar,N/A,Build Resource,Stone**,1,Quarry**
Mountains,Pillar**,6,Pillar,N/A,Build Resource,Oak Plank**,1,Sawmill**
Islands,Clay Pit*,6,Brick,N/A,Input Resource,None,1,None
Mountains,Pillar**,6,Pillar,N/A,Maintenance Resource,None,0,None
Master,Mill,1,Bread,30,Output Resource,Meal,2,N/A
Mountains,Fishery**,6,Fish,N/A,Build Resource,Oak Plank**,1,Sawmill**
Islands,Steam Clay Pit*,6,Brick,N/A,Input Resource,None,1,None
Mountains,Fishery**,6,Fish,N/A,Maintenance Resource,None,0,None
Master,Meat Pie Bakery,6,Meat Pie,45,Output Resource,Meat Pie,1,N/A
Mountains,Well**,6,Water,N/A,Build Resource,Oak Plank**,1,Sawmill**
Islands,Caoutchouc Farm*,6,Caoutchouc,N/A,Input Resource,None,1,None
Mountains,Well**,6,Water,N/A,Maintenance Resource,None,0,None
Master,Cow Farm,3,Steak & Leather,31,Output Resource,Milk,2,N/A
Mountains,Quarry**,6,Stone,N/A,Build Resource,Oak Plank**,1,Sawmill**
Master,Copper Mine,6,Glasses,N/A,Input Resource,None,1,None
Mountains,Quarry**,6,Stone,N/A,Maintenance Resource,None,0,None
Mountains,Goat Farm**,8,Steak,31,Output Resource,Milk**,2,N/A
Mountains,Oak Lumber Camp**,6,Oak Plank,N/A,Build Resource,Oak Plank**,1,Sawmill**
Master,Steam Copper Mine,6,Glasses,N/A,Input Resource,None,1,None
Mountains,Oak Lumber Camp**,6,Oak Plank,N/A,Maintenance Resource,None,0,None
Master,Milk Farm,3,Milk Can,45,Output Resource,Milk Can,2,N/A
Mountains,Sawmill**,6,Plank,N/A,Build Resource,Stone**,1,Quarry**
Mountains,Sawmill**,6,Plank,N/A,Build Resource,Oak Plank**,1,Sawmill**
Islands,Cattle Farm*,7,Canned Food,N/A,Input Resource,None,1,None
Mountains,Sawmill**,6,Plank,N/A,Maintenance Resource,None,0,None
